Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
228,SONY Bravia 163.9 cm , Ultra HD (4K,4.7,"94,990","1,79,900",47%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
229,SENS 80 cm , HD Ready LED Smart Google TV,4.1,"7,999","21,490",62%, Google TVHD Ready 1366 x 768 Pixels,2022,1
230,Sansui 109 cm , Ultra HD (4K,4.2,"25,999","35,390",26%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
231,Thomson FA Series 106 cm , Full HD LED Smart Android TV 2023 Edition with Dolby Digital Plus &...,4.3,"15,499","28,499",45%, AndroidFull HD 1080 x 1920 Pixels,2023,1
232,Blaupunkt GenZ Smart 124 cm , Full HD LED Smart Android Based TV,4.1,"22,999","44,000",47%, Android BasedFull HD 1920 x 1080 Pixels,2019,1
233,CANDY 109 cm , Ultra HD (4K,4.5,"24,990","30,990",19%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
234,Acer Frameless 139 cm , Ultra HD (4K,4.4,"33,999","54,990",38%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
235,Blaupunkt Cybersound 139 cm , Ultra HD (4K,4.5,"32,999","55,999",41%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
236,SAMSUNG 125 cm , Ultra HD (4K,4.3,"1,03,990","1,25,900",17%, TizenUltra HD (4K) 3840 x 2160 Pixels,2016,1
237,LG Super UHD 164 cm , Ultra HD (4K,5,"2,62,990","3,56,990",26%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2017,1
238,InnoQ 2024 Bluetooth Frameless 108 cm , Ultra HD (4K,3.9,"17,490","49,990",65%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2024,1
239,CANDY 80 cm , HD Ready LED Smart Android TV 2023 Edition,4.2,"10,990","19,990",45%, AndroidHD Ready 1366 x 768 Pixels,2023,2
240,SAMSUNG The Serif Series 123 cm , QLED Ultra HD (4K,4.4,"89,490","1,29,900",31%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
241,LG 108 cm , Full HD LED Smart WebOS TV,4.4,"28,990","40,990",29%, WebOSFull HD 1920 x 1080 Pixels,2020,1
242,SAMSUNG The Frame 2021 Series 125 cm , QLED Ultra HD (4K,4.2,"75,990","1,19,900",36%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
243,SAMSUNG Series 7 138 cm , Ultra HD (4K,4.8,"1,11,490","1,45,900",23%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
244,SONY Bravia 80 cm , HD Ready LED Smart Google TV,4.5,"26,990","34,900",22%, Google TVHD Ready 1366 x 768 Pixels,2022,1
245,T,,4.2,"7,490","12,990",42%,,2021,1
246,LG 164 cm , Ultra HD (4K,4.4,"69,990","1,19,990",41%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
247,KODAK 164 cm , QLED Ultra HD (4K,4.6,"46,999","84,999",44%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
248,Vu Premium 108 cm , Full HD LED Smart Android TV,4.3,"40,000",,None, AndroidFull HD 1920 x 1080 Pixels,2020,1
249,TOSHIBA C350NP 139 cm , Ultra HD (4K,4.3,"37,999","59,999",36%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
250,SONY Bravia X82L 163.9 cm , Ultra HD (4K,4.7,"97,300","1,64,900",40%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
251,SONY Bravia X82L 138.8 cm , Ultra HD (4K,4.8,"75,890","1,29,900",41%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
252,LG UQ8020 139 cm , Ultra HD (4K,4.5,"49,990","84,990",41%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
253,Infinix X3 126 cm , Ultra HD (4K,4.2,"29,999","39,999",25%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
254,KODAK 7XPro 126 cm , Ultra HD (4K,4.3,"25,999","42,999",39%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
255,Infinix 80 cm , QLED HD Ready Smart WebOS TV Infinix W1 QLED 80 cm (32 inch,4.1,"12,999","18,999",31%, WebOSHD Ready 1366 x 768 Pixels,2023,1
256,Blaupunkt CyberSound G2 Series 108 cm , Full HD LED Smart Android TV 2023 Edition with Dolby D...,4.4,"17,499","29,999",41%, AndroidFull HD 1080 x 1920 Pixels,2023,1
257,SAMSUNG 6 108 cm , Ultra HD (4K,4.1,"70,990","89,850",20%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
258,SONY Bravia 2 138.8 cm , Ultra HD (4K,5,"68,999","99,900",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,1
259,SAMSUNG 123 cm , Ultra HD (4K,4.4,"1,78,900","1,79,900",None, TizenUltra HD (4K) 3840 x 2160 Pixels,2016,NA
